LECROYHDO6104,19130,Waveform
Segments,1,SegmentSize,25002
Segment,TrigTime,TimeSinceSegment1
#1,27-Jul-2000 17:00:50,0                 
Time,Ampl
-0.0030042616,0.028147225
-0.0030038616,0.02817778
-0.0030034616,0.028258336
-0.0030030616,0.028297225
-0.0030026616,0.02825278
-0.0030022616,0.02825278
-0.0030018616,0.028430558
-0.0030014616,0.028633336
-0.0030010616,0.02865278
-0.0030006616,0.028497225
-0.0030002616,0.028344447
-0.0029998616,0.028419447
-0.0029994616,0.028500002
-0.0029990616,0.02835278
-0.0029986616,0.028155558
-0.0029982616,0.028230558
-0.0029978616,0.028680558
-0.0029974616,0.029180558
-0.0029970616,0.029344447
-0.0029966616,0.029200002
-0.0029962616,0.02900278
-0.0029958616,0.028944447
-0.0029954616,0.028913891
-0.0029950616,0.028791669
-0.0029946616,0.028797225
-0.0029942616,0.028947225
-0.0029938616,0.029033336
-0.0029934616,0.028936114
-0.0029930616,0.028763891
-0.0029926616,0.02877778
-0.0029922616,0.028858336
-0.0029918616,0.028908336
-0.0029914616,0.028880558
-0.0029910616,0.028758336
-0.0029906616,0.028780558
-0.0029902616,0.028908336
-0.0029898616,0.029088891
-0.0029894616,0.029208336
-0.0029890616,0.029255558
-0.0029886616,0.029466669
-0.0029882616,0.029686114
-0.0029878616,0.029686114
-0.0029874616,0.029430558
-0.0029870616,0.029286114
-0.0029866616,0.029397225
-0.0029862616,0.02940278
-0.0029858616,0.029313891
-0.0029854616,0.029369447
-0.0029850616,0.029636114
-0.0029846616,0.029936114
-0.0029842616,0.030230558
-0.0029838616,0.030019447
-0.0029834616,0.02620278
-0.0029830616,0.017700003
-0.0029826616,0.0085694481
-0.0029822616,0.0029444484
-0.0029818616,0.0014361151
-0.0029814616,0.0012194485
-0.0029810616,0.0010416707
-0.0029806616,0.001075004
-0.0029802616,0.00092500404
-0.0029798616,0.00079167072
-0.0029794616,0.00061111517
-0.0029790616,0.00040000407
-0.0029786616,0.00042222629
-0.0029782616,0.00077500405
-0.0029778616,0.0012555596
-0.0029774616,0.0015194485
-0.0029770616,0.0014111151
-0.0029766616,0.001075004
-0.0029762616,0.0007194485
-0.0029758616,0.00064167073
-0.0029754616,0.00084722627
-0.0029750616,0.0011694485
-0.0029746616,0.0013083374
-0.0029742616,0.0010916707
-0.0029738616,0.00091111516
-0.0029734616,0.0009555596
-0.0029730616,0.001200004
-0.0029726616,0.0014583373
-0.0029722616,0.0015888929
-0.0029718616,0.0016111151
-0.0029714616,0.001425004
-0.0029710616,0.0011666707
-0.0029706616,0.0010777818
-0.0029702616,0.0011888929
-0.0029698616,0.0012805596
-0.0029694616,0.0011361151
-0.0029690616,0.00094167071
-0.0029686616,0.014427781
-0.0029682616,0.039844446
-0.0029678616,0.058258334
-0.0029674616,0.060905556
-0.0029670616,0.046019446
-0.0029666616,0.032780558
-0.0029662616,0.025813892
-0.0029658616,0.023452781
-0.0029654616,0.025616669
-0.0029650616,0.023916669
-0.0029646616,0.023000003
-0.0029642616,0.022619447
-0.0029638616,0.022241669
-0.0029634616,0.022591669
-0.0029630616,0.022797225
-0.0029626616,0.022980558
-0.0029622616,0.022925003
-0.0029618616,0.023041669
-0.0029614616,0.023066669
-0.0029610616,0.023308336
-0.0029606616,0.023588892
-0.0029602616,0.023763892
-0.0029598616,0.023666669
-0.0029594616,0.023752781
-0.0029590616,0.023908336
-0.0029586616,0.023988892
-0.0029582616,0.023952781
-0.0029578616,0.023633336
-0.0029574616,0.023330558
-0.0029570616,0.023219447
-0.0029566616,0.023500003
-0.0029562616,0.023844447
-0.0029558616,0.023936114
-0.0029554616,0.023866669
